molecule,frequencies
water,"[1826.576272811792, 4070.6693600383965, 4188.958221782173]"
hydrogen,[4643.6037477638]
carbon dioxide,"[745.5023578752654, 745.5023719538889, 1518.4047730448683, 2585.184621066372]"
ethene,"[897.1511704374659, 1094.7037807392255, 1099.0141615599434, 1154.9393222931603, 1352.6076999426666, 1497.1675023891412, 1610.4197043245938, 1856.591573527414, 3320.7100107980464, 3344.1182768370086, 3394.4185010225224, 3420.487602361421]"
